enunciado,imagem,alternativaA,alternativaB,alternativaC,alternativaD,alternativaCorreta,nivelDificuldade
"A memória RAM guarda:","", "As coisas que o computador está usando agora","Os arquivos para sempre","Som e imagem","Energia elétrica","As coisas que o computador está usando agora","FACIL"
"O SSD serve para:","", "Guardar jogos e fotos","Esfriar o computador","Produzir sons","Dar energia","Guardar jogos e fotos","FACIL"
"A placa de vídeo melhora:","", "O som das músicas","As imagens dos jogos e vídeos","A escrita do teclado","A velocidade da internet","As imagens dos jogos e vídeos","FACIL"
"Os fans servem para:","", "Mostrar imagens","Aumentar o som","Escrever textos","Deixar o computador fresquinho","Deixar o computador fresquinho","FACIL"
"A fonte faz o quê?","", "Cria imagens","Distribui energia para todas as peças","Armazena jogos","Mostra vídeos","Distribui energia para todas as peças","FACIL"
"O que aparece no monitor?","", "A energia","As peças internas","As músicas","As imagens do computador","As imagens do computador","FACIL"
"O teclado tem:","", "Teclas","Botões de volume","Telas","Ventoinhas","Teclas","FACIL"
"Onde fica o processador?","", "No teclado","No monitor","Dentro do gabinete","No mouse","Dentro do gabinete","FACIL"
"As caixas de som ficam:","", "Fora do computador","Dentro do gabinete","Na placa-mãe","Dentro da fonte","Fora do computador","FACIL"
"Qual peça ajuda o computador a não esquentar?","", "Placa de vídeo","SSD","CPU","Fans","Fans","FACIL"
"O gabinete também ajuda a:","", "Proteger as peças","Esfriar o monitor","Fazer som","Guardar teclado","Proteger as peças","FACIL"
"Por que o mouse é importante?","", "Sem ele, seria difícil escolher e abrir coisas","Ele deixa o computador mais bonito","Ele armazena músicas","Ele aumenta a velocidade da internet","Sem ele, seria difícil escolher e abrir coisas","MEDIO"
"O teclado serve para:","", "Pintar a tela","Escrever palavras e números","Limpar o monitor","Guardar dados","Escrever palavras e números","MEDIO"
"Além de escrever, o teclado também pode:","", "Mudar a cor do gabinete","Dar comandos, como andar em jogos","Resfriar o processador","Exibir imagens","Dar comandos, como andar em jogos","MEDIO"
"As caixas de som transformam:","", "Luz em som","Sinais do computador em som","Texto em vídeo","Som em imagem","Sinais do computador em som","MEDIO"
"Um exemplo de uso das caixas de som é:","", "Mostrar filmes","Armazenar programas","Reproduzir músicas e falas","Esfriar o computador","Reproduzir músicas e falas","MEDIO"
"O monitor mostra:","", "Som","Energia elétrica","Imagens e tudo que o computador faz","O interior do gabinete","Imagens e tudo que o computador faz","MEDIO"
"Por que o monitor é comparado a um painel de cinema pessoal?","", "Porque é grande e mostra imagens coloridas","Porque produz sons altos","Porque tem uma câmera embutida","Porque controla o computador","Porque é grande e mostra imagens coloridas","MEDIO"
"Sem os periféricos, o usuário teria dificuldade em:","", "Ligar o computador","Interagir com o computador","Instalar programas","Limpar a tela","Interagir com o computador","MEDIO"
"Quais são exemplos de periféricos de entrada?","", "Mouse e teclado","Monitor e caixa de som","SSD e placa de vídeo","Gabinete e fans","Mouse e teclado","MEDIO"
"O gabinete serve para:","", "Mostrar imagens","Tocar músicas","Proteger e organizar as peças","Aumentar o som","Proteger e organizar as peças","MEDIO"
"A placa-mãe é responsável por:","", "Conectar todas as peças do computador","Esfriar o processador","Armazenar arquivos","Exibir imagens","Conectar todas as peças do computador","MEDIO"
"O processador (CPU) é comparado ao:","", "Coração","Cérebro","Pulmão","Estômago","Cérebro","MEDIO"
"O processador faz o quê?","", "Armazena dados permanentemente","Calcula e executa instruções rapidamente","Cria imagens para o monitor","Controla o som das caixas","Calcula e executa instruções rapidamente","MEDIO"
"A memória RAM guarda informações:","", "De forma permanente","Apenas enquanto o computador está ligado","Fora do gabinete","Em nuvem","Apenas enquanto o computador está ligado","MEDIO"
"O que acontece com os dados da RAM quando o computador desliga?","", "São apagados","São salvos no SSD","São enviados à internet","Ficam congelados","São apagados","MEDIO"
"O SSD serve para:","", "Reproduzir som","Armazenar arquivos de forma rápida e permanente","Conectar cabos de energia","Aumentar o volume","Armazenar arquivos de forma rápida e permanente","MEDIO"
"A placa de vídeo tem como função principal:","", "Controlar o som","Criar e exibir imagens e gráficos","Armazenar dados","Resfriar o processador","Criar e exibir imagens e gráficos","MEDIO"
"As fans dentro do computador servem para:","", "Decorar o gabinete","Aumentar o brilho do monitor","Resfriar as peças internas","Armazenar dados","Resfriar as peças internas","MEDIO"
"A fonte de energia faz o quê?","", "Transforma a energia da tomada para o computador","Produz som","Gera imagens","Controla a internet","Transforma a energia da tomada para o computador","MEDIO"
"Selecione a resposta que contém apenas dispositivos de saída:","", "Monitor e Caixa de som","Processador e SSD","Fonte e Memória RAM","Placa mãe e Fan","Monitor e Caixa de som","MEDIO"
"Se o computador está quente demais, pode ser problema nas:","", "Fans","Caixas de som","Teclas","Luzes do gabinete","Fans","MEDIO"
"Se o computador liga mas não mostra nada na tela, o problema pode estar:","", "Na placa de vídeo ou no monitor","No teclado","Na fonte de energia","Nas caixas de som","Na placa de vídeo ou no monitor","MEDIO"
"Se o computador perde as informações ao desligar, o responsável é:","", "SSD","Processador","RAM","Fonte","RAM","MEDIO"
"Um jogo travando pode indicar sobrecarga na:","", "Fonte","Placa de vídeo","Memória RAM","Monitor","Placa de vídeo","MEDIO"
"Qual peça armazena dados mesmo com o computador desligado?","", "RAM","SSD","Placa-mãe","Fonte","SSD","MEDIO"
"O que aconteceria se o processador não funcionasse?","", "O computador não conseguiria executar nenhuma tarefa","O som ficaria mudo","O monitor desligaria sozinho","O teclado travaria","O computador não conseguiria executar nenhuma tarefa","MEDIO"
"Se a placa de vídeo estiver ruim, o que pode acontecer?","", "O SSD apaga tudo","O som desaparece","O teclado não responde","O computador fica sem imagem ou com travamentos gráficos","O computador fica sem imagem ou com travamentos gráficos","MEDIO"
"A função das fans é importante porque:","", "Impede o superaquecimento das peças","Deixa o gabinete mais colorido","Melhora o som do computador","Cria mais memória","Impede o superaquecimento das peças","MEDIO"
"Selecione a resposta que contém apenas dispositivos de entrada:","", "Mouse e teclado","Monitor e caixas de som","SSD e processador","Fonte e fan","Mouse e teclado","MEDIO"
"Qual dispositivo permite que o usuário escreva textos no computador?","", "Teclado","Monitor","Caixa de som","Pendrive","Teclado","MEDIO"
"O mouse é considerado um dispositivo de:","", "Saída","Entrada","Armazenamento","Processamento","Entrada","DIFICIL"
"O mouse detecta movimento por meio de:","", "Teclas mecânicas","Sensores (ópticos ou a laser)","Ondas de som","Campos magnéticos","Sensores (ópticos ou a laser)","DIFICIL"
"Quando clicamos com o mouse, o que ele envia ao computador?","", "Um sinal de energia","Um comando de entrada","Um som de resposta","Uma imagem na tela","Um comando de entrada","DIFICIL"
"O teclado transforma o pressionamento de teclas em:","", "Sinais que o computador interpreta","Energia elétrica","Movimentos do cursor","Ondas sonoras","Sinais que o computador interpreta","DIFICIL"
"As caixas de som são classificadas como dispositivos de:","", "Entrada","Armazenamento","Saída","Processamento","Saída","DIFICIL"
"O que as caixas de som fazem com os sinais elétricos recebidos?","", "Transformam em luz","Transformam em som","Guardam como dados","Transmitem para o processador","Transformam em som","DIFICIL"
"O monitor forma imagens por meio de:","", "Linhas de código","Pontos de luz chamados pixels","Processos sonoros","Sensores de movimento","Pontos de luz chamados pixels","DIFICIL"
"O monitor é um periférico de:","", "Entrada","Processamento","Saída","Armazenamento","Saída","DIFICIL"
"Em um monitor, quanto maior o número de pixels:","", "Pior a resolução","Melhor a resolução","Menor a qualidade da imagem","Menos consumo de energia","Melhor a resolução","DIFICIL"
"Qual periférico envia comandos por meio de toques ou cliques?","", "Monitor","Mouse","Caixas de som","Fonte","Mouse","DIFICIL"
"O gabinete tem como função principal:","", "Exibir gráficos na tela","Armazenar dados permanentemente","Proteger e organizar os componentes internos","Reproduzir som","Proteger e organizar os componentes internos","DIFICIL"
"Além de proteção, o gabinete ajuda em:","", "Transmissão de dados","Ventilação e fluxo de ar","Cálculo de instruções","Conversão de energia","Ventilação e fluxo de ar","DIFICIL"
"A placa-mãe permite que as peças do computador:","", "Trabalhem isoladas","Se conectem e troquem informações","Armazenem dados permanentemente","Reproduzam sons","Se conectem e troquem informações","DIFICIL"
"A placa-mãe também é responsável por:","", "Enviar energia para os componentes","Criar imagens","Gerar som","Armazenar dados","Enviar energia para os componentes","DIFICIL"
"O processador (CPU) é responsável por:","", "Exibir gráficos no monitor","Interpretar instruções e executar cálculos","Armazenar permanentemente arquivos","Fornecer energia para as peças","Interpretar instruções e executar cálculos","DIFICIL"
"Selecione a alternativa com a peça que renderiza imagens e a que exibe imagens:","", "Caixa de som e Monitor","Memória RAM e SSD","Placa de vídeo e Monitor","Placa de vídeo e Mouse","Placa de vídeo e Monitor","DIFICIL"
"A memória RAM guarda dados:","", "De forma permanente","Apenas enquanto o computador está ligado","Em um disco magnético","Fora do gabinete","Apenas enquanto o computador está ligado","DIFICIL"
"Quando o computador é desligado, o que acontece com o conteúdo da RAM?","", "É salvo automaticamente no SSD","É apagado completamente","É enviado à GPU","Fica armazenado na fonte","É apagado completamente","DIFICIL"
"O SSD utiliza que tipo de tecnologia para armazenar dados?","", "Disco magnético","Fita ótica","Memória flash","Campos elétricos de RAM","Memória flash","DIFICIL"
"A principal vantagem do SSD é:","", "Maior lentidão","Maior velocidade","Menor durabilidade","Consumo maior de energia","Maior velocidade","DIFICIL"
"A placa de vídeo tem um processador próprio chamado:","", "CPU","GPU","RAM","SSD","GPU","DIFICIL"
"A GPU é especializada em:","", "Calcular gráficos e imagens","Controlar o teclado","Processar sons","Armazenar dados","Calcular gráficos e imagens","DIFICIL"
"O processo de criação das imagens exibidas na tela é chamado de:","", "Compilação","Renderização","Codificação","Compressão","Renderização","DIFICIL"
"As fans são responsáveis por:","", "Resfriar os componentes internos","Armazenar informações","Converter energia elétrica","Enviar dados para a GPU","Resfriar os componentes internos","DIFICIL"
"O que pode acontecer se as fans não funcionarem corretamente?","", "O computador aquece demais e pode travar","O som para de funcionar","O SSD é apagado","A fonte deixa de gerar energia","O computador aquece demais e pode travar","DIFICIL"
"A fonte de alimentação converte:","", "Dados em energia","Energia da tomada em energia adequada para o computador","Som em imagem","Luz em calor","Energia da tomada em energia adequada para o computador","DIFICIL"
"Se a fonte fornecer energia errada, o que pode ocorrer?","", "O computador desligar ou queimar peças","O processador trabalhar mais rápido","A RAM duplicar a capacidade","A placa de vídeo gerar imagens melhores","O computador desligar ou queimar peças","DIFICIL"
"Quais as peças associadas à memória?","", "SSD e Memória RAM","Mouse e Teclado","Fonte e Fan","Placa de vídeo e Caixa de som","SSD e Memória RAM","DIFICIL"
"Se o computador liga, mas não aparece nada na tela, qual componente pode estar com defeito?","", "Placa de vídeo","Caixas de som","Fonte de energia","Fans","Placa de vídeo","DIFICIL"
"Qual conjunto abaixo contém apenas componentes internos do computador?","", "Mouse, teclado e monitor","Placa-mãe, processador e SSD","Caixas de som, monitor e gabinete","Mouse, placa de vídeo e teclado","Placa-mãe, processador e SSD","DIFICIL"
